time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1405456835830,1.62544337716,8.09901446431,0.294084302038,1.40998324127e-14,9.80664984823,1.69864122768e-14,
1405456835831,1.81967372344,7.93027285348,0.187782343821,4.66293670343e-15,9.80665011605,-1.80966353014e-14,
1405456835832,1.85240253727,7.75689585347,0.217121997189,1.67643676718e-14,9.80665064884,9.7699626167e-15,
1405456835834,1.71834789051,7.4771163743,0.503668421817,-1.12132525487e-14,9.80665103443,1.7763568394e-15,
1405456835876,1.56371614388,7.59833424813,0.855217352582,6.77236045021e-15,9.80664874261,1.25455201783e-14,
1405456835877,1.45769883481,7.98314683239,1.13195665701,-1.54876111935e-14,9.8066511939,-9.65894031424e-15,
1405456835878,1.18353213996,8.41962228212,1.22727692971,1.18793863635e-14,9.80665080313,1.4155343564e-14,
1405456835878,0.667686886144,8.73572147261,1.18866911288,-2.52575738102e-14,9.80665161494,2.209343819e-14,
1405456835883,0.198513159772,8.99104257868,1.00670476622,-1.85962356625e-14,9.80664969249,2.45914399954e-14,
1405456835915,-0.419501908226,9.10502906948,0.742405514133,-4.34097202628e-14,9.80665066203,2.44249065418e-15,
1405456835916,-0.763502600725,9.05667163682,0.522740589445,-2.40085729075e-15,9.80665077981,2.1371793224e-14,
1405456835916,-0.923539195369,8.85638067048,0.417834690291,1.25580101873e-13,9.80665133999,-2.39253061807e-14,
1405456835957,-0.954994789694,8.63858036394,0.260260130383,-4.19789203399e-13,9.80665025519,-7.38298311376e-15,
1405456835958,-0.736255933512,8.56933983634,0.197488227573,8.43075609325e-14,9.80665137905,-1.99840144433e-14,
1405456835959,-0.638658893649,8.59804431142,0.316190952975,-2.54241072639e-14,9.80665169247,-1.07136521876e-14,
1405456835960,-0.859461664014,8.60612025812,0.464206454424,1.24067423002e-14,9.80664926074,8.32667268469e-15,
1405456835963,-1.23143303088,8.7576266563,0.679247000138,2.74780198595e-14,9.806651189,-2.44249065418e-15,
1405456835997,-1.57580325738,9.17194906481,0.949693537181,7.49400541622e-15,9.8066512139,2.10942374679e-14,
1405456835997,-1.62889254857,9.44692180217,0.957246619774,2.16493489802e-14,9.80665115222,4.66293670343e-15,
1405456835998,-1.42182826657,9.6062311566,0.611487227713,5.99520433298e-15,9.80665115098,-3.77475828373e-15,
1405456836023,-1.33827226133,9.68925898959,0.215636620164,-1.07691633389e-14,9.80664858433,-1.16573417586e-14,
1405456836024,-1.39199373133,9.59185624091,-0.30811296593,1.35447209004e-14,9.80665080999,-7.1054273576e-15,
1405456836025,-1.29181615469,9.47998335242,-0.15006972153,9.54791801178e-15,9.80665002561,-1.01030295241e-14,
1405456836032,-0.949806047578,9.54985252739,0.0584293252255,1.26565424807e-14,9.80664973763,8.881784197e-16,
1405456836059,-0.86598368248,9.54772962934,0.0954879611936,3.88578058619e-15,9.80665149049,1.33226762955e-14,
1405456836059,-1.27622224986,9.25283676732,0.381642782077,6.32827124036e-15,9.80665104437,5.77315972805e-15,
1405456836063,-1.96688081882,8.73933109993,0.701332049291,1.75415237891e-14,9.80665160625,-3.33066907388e-16,
1405456836086,-2.83389963903,8.50763449012,0.753992065858,-3.66373598126e-15,9.80665211851,-3.33066907388e-15,
1405456836087,-2.98474759912,8.71618972521,0.60107644377,1.22124532709e-15,9.80665045975,-9.99200722163e-15,
1405456836092,-2.63293452737,9.10236620333,0.343619412271,-3.44169137634e-15,9.80665049519,-7.77156117238e-15,
1405456836136,-2.1471638667,9.56635034782,0.121651573833,9.65894031424e-15,9.80665095192,3.10862446895e-15,
1405456836137,-1.79736982826,9.97570238049,0.117368832003,9.7699626167e-15,9.80665063037,2.22044604925e-15,
1405456836137,-1.50874605271,10.2587945975,0.171983029443,-8.65973959208e-15,9.80665027792,-4.21884749358e-15,
1405456836138,-1.46028663322,10.5124865036,0.0123454112441,5.77315972805e-15,9.80665209202,5.77315972805e-15,
1405456836144,-1.39411865524,10.5504886309,-0.254559349884,0.0,9.80665153546,2.44249065418e-15,
1405456836176,-0.848249085684,10.3044720516,-0.0523966802048,5.10702591328e-15,9.80664997846,2.44249065418e-15,
1405456836177,-0.31910217323,10.0932214735,0.403024888385,5.88418203051e-15,9.80665080671,-3.5527136788e-15,
1405456836178,-0.215587776725,10.0458300792,0.187546135458,-9.43689570931e-15,9.80664935754,1.7763568394e-15,
1405456836184,0.458921812233,9.67550247236,0.128015088181,2.88657986403e-15,9.8066498122,9.43689570931e-15,
1405456836207,1.11604757505,8.90327691417,0.683421649701,4.4408920985e-16,9.80665013017,-3.44169137634e-15,
1405456836207,1.85928080013,8.03781351619,1.08689412086,-1.05471187339e-14,9.80665046863,4.4408920985e-15,
1405456836216,3.07649969128,7.55554953819,1.2136495676,1.44328993201e-15,9.80665043978,-1.39888101103e-14,
1405456836246,3.57725544725,7.62584367896,1.72323574085,5.99520433298e-15,9.80665066908,1.33226762955e-14,
1405456836247,3.78726357826,8.88279932543,2.01991640813,-6.10622663544e-15,9.80664948653,-1.27675647832e-14,
1405456836248,4.2551454854,11.6617264621,1.71958428581,-4.77395900589e-15,9.80665218112,6.43929354283e-15,
