time,acc_x,acc_y,acc_z,local max
1408129704385,-0.786998467372,9.21361054433,-0.132141576262,0
1408129704386,-0.805828184023,8.69818510319,-0.122933725646,0
1408129704392,-0.817125788291,8.49568214289,-0.115828516221,0
1408129704400,-0.860374744732,8.40100260918,-0.0142335116168,0
1408129704422,-0.981174906771,8.35167895421,0.120471620026,0
1408129704423,-1.33661326975,8.46747417647,0.263283703615,0
1408129704432,-1.93805146506,8.84514772838,0.277922631207,0
1408129704449,-2.43225632978,9.29379935789,0.260239840686,0
1408129704471,-2.6398595006,9.61464325965,0.0155742280633,0
1408129704472,-2.47893808245,9.7567058261,-0.407873138941,0
1408129704474,-1.98745211745,9.61266816501,-0.752711351085,0
1408129704480,-1.37491220024,9.37687990142,-1.11404137257,0
1408129704498,-0.932764416728,9.12996609956,-1.03280333187,0
1408129704513,-0.7778369755,8.97517316009,-0.548844489767,0
1408129704513,-1.19893823575,8.80267904951,0.206781472062,0
1408129704527,-2.52343353048,8.48904106639,0.865203896683,0
1408129704547,-3.43215584304,8.20557038877,0.807198078052,0
1408129704548,-3.55478610205,8.42860122207,0.329143096149,0
1408129704562,-2.93954690199,8.84605824574,0.0459219134853,0
1408129704563,-2.00329348975,9.25174948518,0.087561609192,0
1408129704577,-1.40084538958,9.95855193113,0.11483700661,0.0
1408129704580,-0.728906960697,10.4820934674,-0.0239774369427,0.0
1408129704598,0.314677602192,10.4961294962,0.231013305741,0.0
1408129704613,0.808069787041,10.0567736844,1.07809096445,0.0
1408129704614,0.679915129504,9.78179297996,0.910746309865,0.0
1408129704633,1.19066887036,9.76253095384,0.440054407073,0.0
1408129704634,1.76781086191,9.39709022693,0.928021830591,0.0
1408129704640,2.67119419997,8.60735948282,1.55850154333,0.0
1408129704673,3.49066014198,8.37171857972,2.03018937514,0.0
1408129704674,3.7171630564,9.10699389516,2.21279260919,0.0
1408129704675,3.59591133249,11.2618269362,2.05090972035,0.0
1408129704680,3.6237082138,14.6451490386,1.9981964728,0.0
1408129704705,3.51740814551,18.2298791661,2.21643753807,0.0
1408129704705,3.20472662661,19.7179733698,2.28795841165,19.7179733698
1408129704712,3.28584871618,18.1735235488,1.42049428416,0.0
1408129704729,2.97682067045,15.4523396859,-0.0216712850608,0.0
1408129704732,2.62530007507,12.4299985401,-1.322597748,0.0
1408129704751,2.60238139575,10.6056933289,-2.17799386136,0.0
1408129704752,2.6977688625,10.3212493882,-2.0883343631,0.0
1408129704760,2.70537084779,10.2935544454,-1.64623975235,0.0
1408129704786,2.06854486872,9.81019293187,-1.28928241723,0.0
1408129704787,1.2670695723,8.40377296096,-1.49297517124,0.0
1408129704792,0.204493847781,7.90615501613,-2.02863219092,0.0
1408129704822,-0.626596779602,7.97872491911,-1.97953138517,0.0
1408129704822,-1.03046421323,7.99867886727,-1.52355838847,0.0
1408129704823,-1.24656409939,8.19959246568,-0.83011348405,0.0
1408129704846,-1.43345714889,8.47426329259,-0.164615387249,0.0
1408129704847,-1.59437880877,8.31568003857,0.106633708568,0.0
1408129704867,-1.43072796992,8.09244197908,0.0507123069875,0.0
1408129704867,-0.937978055033,7.17015297917,-0.0212146566299,0.0
1408129704872,-0.465243310843,6.11427256853,-0.195412548148,0.0
1408129704880,-0.338085228141,5.59552213035,-0.491855365197,0.0
1408129704901,-0.39607927749,5.3206020668,-0.695182317814,0.0
1408129704902,-0.426716112381,5.13968484134,-0.89576089147,0.0
1408129704912,-0.258309805286,5.0032953889,-1.06120117176,0.0
1408129704937,-0.0593501694474,5.12293986132,-1.11028559447,0.0
1408129704937,0.0804994667522,5.3204886224,-0.970314233555,0.0
1408129704941,0.176952672845,5.4883153152,-0.694248611949,0.0
1408129704971,0.17135214103,5.72549589395,-0.541728752435,0.0
1408129704972,0.0370308969872,6.11334877517,-0.498431457558,0.0
1408129704973,-0.134830813641,6.54652146372,-0.769011870969,0.0
1408129704980,-0.41619091993,6.95584019194,-1.09282253129,0.0
1408129704999,-0.79184603435,7.42372837088,-1.31569328254,0.0
1408129705000,-1.18283840559,8.12807413916,-1.41426497321,0.0
1408129705013,-1.45697723001,8.99357020805,-1.45264887587,0.0
1408129705035,-1.45967393868,9.72117904139,-1.46217365359,0.0
1408129705036,-1.18650611559,10.1846162884,-1.5372164134,0.0
1408129705040,-0.780869578474,10.2271694204,-1.72191538923,0.0
1408129705071,-0.0877647084381,10.4849129975,-1.78502706178,0.0
1408129705071,1.05336201355,12.0420593239,-0.995521972072,0.0
1408129705072,1.40683390036,14.1427930385,0.14894279925,0.0
1408129705080,0.557266311058,15.9785390796,1.29872352537,0.0
1408129705098,-0.904613105519,14.5700111051,1.93874503785,0.0
1408129705100,-2.92467354826,12.1476899624,1.47456309712,0.0
1408129705112,-4.6584373387,10.5942160194,-0.270039821205,0.0
1408129705144,-5.14790860006,10.4234942076,-3.67666992892,0.0
1408129705145,-3.44016979065,13.895841932,-6.72633250397,0.0
1408129705146,-1.55332739582,18.9667170552,-3.36819818551,18.9667170552
1408129705173,0.533739607546,17.5746062146,0.998736844923,0.0
1408129705174,3.13148024362,14.5144199273,2.26449682133,0.0
1408129705174,4.99068557926,13.1394567596,1.26866763849,0.0
1408129705206,5.4523699457,11.9627036168,0.058090412992,0.0
1408129705206,5.69073179723,11.4286100698,0.330549383739,0.0
1408129705207,5.62330568234,10.8051556817,2.03824709482,0.0
1408129705213,5.21030578737,9.1660339302,2.86362887973,0.0
1408129705233,4.72035001237,7.83960859012,2.0740382069,0.0
1408129705234,3.95322788217,7.59482356621,1.35156069283,0.0
1408129705241,3.01897197021,7.89426485001,1.71617809017,0.0
1408129705268,2.32004808013,8.09871126375,1.59671276902,0.0
1408129705269,1.4333304521,7.90304548588,0.586338631592,0.0
1408129705273,0.726707785405,7.50210489972,0.0117851973455,0.0
1408129705336,0.399232355536,7.39422638489,0.127088656671,0.0
1408129705337,0.30959668903,7.81169035538,0.224262745561,0.0
1408129705339,0.383004963772,8.28005944646,0.198746259705,0.0
1408129705340,0.491078699832,8.49274154416,0.210536708971,0.0
1408129705341,0.72099222501,8.49078400093,0.538224401798,0.0
1408129705343,0.973376541468,8.35611005105,1.05451558114,0.0
1408129705344,1.36465266397,8.35532032973,1.46749058173,0.0
1408129705373,1.50515214315,8.64369580441,1.60743909874,0.0
1408129705374,1.61912307217,8.67008565908,1.69272772309,0.0
1408129705375,1.72254492963,8.56838324821,1.78268279328,0.0
1408129705415,1.77756990214,8.64721282466,1.73710842857,0.0
1408129705416,1.63046579821,8.74337951175,1.4256882344,0.0
1408129705417,1.31802787677,8.42516115463,0.964458538736,0.0
1408129705417,0.973017737309,8.11923435491,0.726058009721,0.0
1408129705422,0.545957579519,7.96756093416,0.72891817292,0.0
1408129705435,0.322656092618,8.09336943973,0.97813663978,0.0
1408129705442,-0.0663745349364,8.25747961919,1.10478955924,0.0
1408129705465,-0.447048989185,8.23053259812,1.08313421138,0.0
1408129705466,-0.980464189323,8.29870872716,1.0306677085,0.0
1408129705489,-1.61844432158,8.13356606406,0.70767184491,0.0
1408129705490,-2.28918514612,7.71930010851,0.178618731273,0.0
1408129705533,-2.69638918093,7.42206970618,-0.364554990004,0.0
1408129705534,-2.70025915062,7.15876932008,-0.579180238356,0.0
1408129705535,-2.64312901627,7.39130810437,-0.725998497548,0.0
1408129705536,-2.39391711688,7.72995811222,-0.841158710554,0.0
1408129705537,-2.00065425828,8.14703787397,-0.779332274532,0.0
1408129705542,-1.66880399706,8.46953970661,-0.635797274313,0.0
1408129705589,-1.48277710508,8.20437125819,-0.365435452342,0.0
1408129705591,-1.57307940293,8.17985587756,-0.11596162686,0.0
1408129705592,-1.52337918977,8.354005929,-0.205446942648,0.0
1408129705594,-1.47713055062,8.49006376074,-0.474326626599,0.0
1408129705595,-1.56390878215,8.7632603152,-0.311794389341,0.0
1408129705639,-1.5322187939,9.29330337015,0.0860154394025,0.0
1408129705640,-1.69245811253,9.85415732886,0.814591198858,0.0
1408129705642,-2.3628531047,9.91643014308,1.41483593762,0.0
1408129705643,-3.35687032768,9.81368318327,1.253057704,0.0
1408129705645,-3.67788426905,9.9361706593,0.445562742584,0.0
1408129705676,-3.15153140255,10.1913153589,-0.289643116016,0.0
1408129705677,-2.37194476237,10.4260185132,-0.567042219399,0.0
1408129705678,-1.7960341977,10.5282694593,-0.199074230112,0.0
1408129705703,-1.53900318932,10.8199322518,-0.32480618656,0.0
1408129705704,-1.26042998258,10.8134635763,-0.212946695554,0.0
1408129705704,-0.874045653958,9.93705314736,0.350926131458,0.0
1408129705714,-0.369767838706,10.0937204153,0.236252371432,0.0
1408129705732,0.250051124263,9.99495365743,1.16961315125,0.0
1408129705735,1.10467477483,8.93301768079,1.92671216624,0.0
1408129705742,2.26985677123,7.76565743309,2.14945111782,0.0
1408129705760,3.01933823177,7.87762816474,2.38722706113,0.0
1408129705764,3.18727669063,8.90057679587,2.33203450051,0.0
1408129705781,3.13884109266,11.5576058757,1.75071666819,0.0
1408129705782,3.14968263871,15.7651942012,1.04297715874,0.0
1408129705794,2.57012372352,19.6229957653,1.12172607601,0.0
1408129705816,2.46071311754,19.8352066685,1.44398300312,19.8352066685
1408129705817,2.84616488313,18.4785369124,0.674054560954,0.0
1408129705822,2.45003428209,15.31998657,-0.764679610411,0.0
1408129705847,2.23189584585,12.1938757239,-1.88683997514,0.0
1408129705848,2.11285876511,9.91068888045,-2.33543559311,0.0
1408129705856,2.43123462591,10.0031226872,-1.77888550013,0.0
1408129705862,2.92647351507,10.2752019558,-0.76140465018,0.0
1408129705884,2.32744015852,9.79834269638,-0.470644316638,0.0
1408129705885,1.3162525691,8.32203061378,-1.14971804916,0.0
1408129705893,0.493262765393,7.18480211497,-1.58072728223,0.0
1408129705917,-0.378215248872,6.74523364639,-1.5077668438,0.0
1408129705918,-1.03824735788,7.35062941021,-1.13980604248,0.0
1408129705922,-1.76274797414,8.32121781076,-0.582084907511,0.0
1408129705946,-2.11550880346,8.38674145005,0.152412626582,0.0
1408129705947,-1.73056566159,7.42991130024,0.462953249522,0.0
1408129705953,-1.03638666401,6.18496395112,0.281914010046,0.0
1408129705962,-0.556492271176,5.29005557379,-0.169224388182,0.0
1408129705981,-0.323498539054,4.79413840374,-0.540407583143,0.0
1408129705982,-0.211430706786,4.60192758389,-0.798289109072,0.0
1408129705993,-0.0108893498336,4.39450427083,-0.989462749454,0.0
1408129706016,0.0985271620613,4.37120794882,-1.14618847765,0.0
1408129706017,0.100207853092,4.61834402134,-1.27551378121,0.0
1408129706022,0.137269355651,4.78885513804,-1.27862996722,0.0
1408129706052,0.108843604976,4.92537749264,-1.23161096345,0.0
1408129706053,0.0377970036391,5.23896523433,-1.19881004173,0.0
1408129706054,-0.120215431785,5.73334973458,-1.24897756068,0.0
1408129706080,-0.467830927991,6.48229166112,-1.3222617889,0.0
1408129706082,-0.953936399708,7.36709512087,-1.29272500805,0.0
1408129706082,-1.44569739624,8.19408120925,-1.21317315883,0.0
1408129706094,-1.7910313462,9.13488998986,-1.38653191484,0.0
1408129706117,-1.99645929284,10.1263829003,-1.75827000223,0.0
1408129706118,-2.06206591151,11.0881548145,-1.8503109115,0.0
1408129706122,-1.84452363508,11.3569299168,-1.63525887802,0.0
1408129706143,-1.36004330127,10.8991776712,-1.57248995887,0.0
1408129706143,-0.418891660756,11.3847271178,-1.3223377021,0.0
1408129706157,0.782698823809,13.2028612325,-0.848597285679,0.0
1408129706197,0.973439355709,15.4927650405,-0.28610041312,0.0
1408129706198,0.450071807792,16.5538336604,1.00104653595,0.0
1408129706199,-1.2759193006,14.1357062693,1.57745051449,0.0
1408129706199,-3.27691852867,11.9909099978,0.156261269818,0.0
1408129706202,-4.29779161174,11.1645154019,-2.95660752065,0.0
1408129706242,-3.09992442606,13.4078494571,-6.88751957875,0.0
1408129706243,-0.969914205573,18.3780201432,-4.91660673569,18.3780201432
1408129706243,1.56241845428,18.0017225914,0.628028821165,0.0
1408129706244,4.20835703401,15.398778167,2.27110654462,0.0
1408129706266,5.00323477144,13.8191444429,2.78789511541,0.0
1408129706266,4.54380745755,11.4077282079,2.58951842753,0.0
1408129706275,4.25580737602,8.89217167794,1.02306092129,0.0
1408129706310,4.2506122972,8.55347125125,0.145420200764,0.0
1408129706313,3.98389928212,8.28176442135,0.721753012867,0.0
1408129706313,3.60274538878,7.57701426104,1.20095326188,0.0
1408129706332,3.34109489324,7.67296625935,1.25279727515,0.0
1408129706332,3.01977798067,8.01070696695,1.85516143661,0.0
1408129706334,2.48562157631,8.50408037303,2.50991631984,0.0
1408129706342,1.688677566,9.05576217827,2.43490893587,0.0
1408129706359,0.619676727562,9.14794165713,1.79302448252,0.0
1408129706375,-0.257439859931,9.2515225625,1.44606179888,0.0
1408129706376,-0.663723642193,9.43389090817,1.55400550421,0.0
1408129706391,-0.442262141963,9.20246213187,1.65895387513,0.0
1408129706406,-0.18673371008,8.80705442499,0.924806713576,0.0
1408129706407,0.175658802997,8.4706658774,0.362389326921,0.0
1408129706421,0.426638625002,8.18297313546,-0.0647512508747,0.0
1408129706422,0.747763111583,7.99921651643,-0.17076238272,0.0
1408129706437,1.24521530207,7.80217991326,0.205305005508,0.0
1408129706442,1.66182242513,7.68607239361,0.63861478788,0.0
1408129706455,2.09275826125,7.45079739517,0.872318805266,0.0
1408129706477,2.22717834852,7.217699996,1.15264041684,0.0
1408129706478,1.92760475366,7.15789591117,1.11349905959,0.0
1408129706494,1.80556282867,7.3725573471,0.872223542311,0.0
1408129706495,1.78452789643,7.44891882924,0.734060335325,0.0
1408129706502,1.81015294735,7.38279470725,0.855162282234,0.0
1408129706525,1.02954972783,7.51700400481,1.16610887003,0.0
1408129706526,0.311507510194,7.73428531494,1.3480823621,0.0
1408129706545,-0.052673908411,7.89206828085,1.4105384445,0.0
1408129706545,-0.666529584703,8.47230745014,1.3666392899,0.0
1408129706553,-1.41103588551,8.30649958873,1.13699980935,0.0
1408129706577,-2.23042829158,8.37743703345,0.574268255459,0.0
1408129706596,-2.6186422296,8.37380199105,-0.13287641536,0.0
1408129706597,-2.57891549425,8.1660409398,-0.411160572301,0.0
1408129706597,-2.36443132511,8.45514339521,-0.421721115859,0.0
1408129706602,-1.90712585023,8.9363723322,-0.461181235393,0.0
1408129706627,-1.58031877821,8.93214400018,-0.437083658144,0.0
1408129706628,-1.57533875997,8.69063302864,-0.30053760564,0.0
1408129706635,-1.95811318849,8.37996154286,-0.226449167802,0.0
1408129706642,-2.40248811609,8.27881168073,-0.246915970272,0.0
1408129706654,-2.74377016365,8.29742102133,-0.296408078147,0.0
1408129706677,-2.90993084502,8.36284069831,-0.421824941174,0.0
1408129706678,-2.84631299321,8.62152828207,-0.852710649626,0.0
1408129706682,-2.27216997547,9.10873981614,-0.961207217601,0.0
1408129706713,-1.97812072217,9.17535175479,-0.383242135187,0.0
1408129706714,-2.06580960345,8.83514102613,0.429143706561,0.0
1408129706714,-2.79021428639,8.52082138146,0.589938470976,0.0
1408129706723,-3.58969741169,8.7255245814,0.0272530003342,0.0
1408129706746,-3.80176533378,9.40645859533,-0.445268303923,0.0
1408129706747,-3.50527970808,9.98361840865,-0.522832719857,0.0
1408129706757,-3.12356204257,10.2366513203,-0.136098055264,0.0
1408129706778,-2.75980530387,10.4436337827,0.180135600165,0.0
1408129706779,-2.48155115344,10.8315817549,0.35910100333,0.0
1408129706782,-2.07507745066,11.1721300881,-0.036447874191,0.0
1408129706811,-1.15911463118,10.6400576278,0.184424851304,0.0
1408129706812,-0.249435730574,9.81322389686,0.937835763338,0.0
1408129706815,0.0771963829557,9.72704994391,0.628396723001,0.0
1408129706822,0.49480163244,9.76653880877,0.697617638168,0.0
1408129706843,1.64352744419,8.79285159536,1.43722449773,0.0
