time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1408129704385,-0.786998467372,9.21361054433,-0.132141576262,-3.25295346215e-14,9.80665010959,-1.1990408666e-14,
1408129704386,-0.805828184023,8.69818510319,-0.122933725646,9.32587340685e-15,9.80665009012,-7.88258347484e-15,
1408129704392,-0.817125788291,8.49568214289,-0.115828516221,6.60582699652e-15,9.80665115904,1.66533453694e-15,
1408129704400,-0.860374744732,8.40100260918,-0.0142335116168,5.88418203051e-15,9.80665064819,-4.99600361081e-15,
1408129704422,-0.981174906771,8.35167895421,0.120471620026,1.65423230669e-14,9.80665019392,1.22124532709e-15,
1408129704423,-1.33661326975,8.46747417647,0.263283703615,-1.44328993201e-15,9.80665047314,7.77156117238e-16,
1408129704432,-1.93805146506,8.84514772838,0.277922631207,-1.18793863635e-14,9.80665109872,-9.10382880193e-15,
1408129704449,-2.43225632978,9.29379935789,0.260239840686,1.22124532709e-14,9.80665128455,-7.77156117238e-15,
1408129704471,-2.6398595006,9.61464325965,0.0155742280633,7.32747196253e-15,9.80664965162,8.881784197e-16,
1408129704472,-2.47893808245,9.7567058261,-0.407873138941,9.99200722163e-16,9.80665146872,-5.77315972805e-15,
1408129704474,-1.98745211745,9.61266816501,-0.752711351085,4.4408920985e-16,9.80665074623,-1.11022302463e-15,
1408129704480,-1.37491220024,9.37687990142,-1.11404137257,1.29896093881e-14,9.80665046488,5.99520433298e-15,
1408129704498,-0.932764416728,9.12996609956,-1.03280333187,-4.77395900589e-15,9.80665133014,9.99200722163e-15,
1408129704513,-0.7778369755,8.97517316009,-0.548844489767,1.11022302463e-15,9.80665063607,3.5527136788e-15,
1408129704513,-1.19893823575,8.80267904951,0.206781472062,5.3290705182e-15,9.80665013843,-5.3290705182e-15,
1408129704527,-2.52343353048,8.48904106639,0.865203896683,-5.55111512313e-15,9.80665219761,6.43929354283e-15,
1408129704547,-3.43215584304,8.20557038877,0.807198078052,3.77475828373e-15,9.80665051807,4.66293670343e-15,
1408129704548,-3.55478610205,8.42860122207,0.329143096149,7.77156117238e-15,9.80664967177,2.44249065418e-15,
1408129704562,-2.93954690199,8.84605824574,0.0459219134853,3.99680288865e-15,9.8066509381,1.55431223448e-15,
1408129704563,-2.00329348975,9.25174948518,0.087561609192,-2.88657986403e-15,9.80664989107,-4.4408920985e-16,
1408129704577,-1.40084538958,9.95855193113,0.11483700661,-4.4408920985e-15,9.80665129376,4.66293670343e-15,
1408129704580,-0.728906960697,10.4820934674,-0.0239774369427,-1.11022302463e-15,9.80665040626,-1.55431223448e-15,
1408129704598,0.314677602192,10.4961294962,0.231013305741,-3.33066907388e-15,9.80664981633,-4.4408920985e-16,
1408129704613,0.808069787041,10.0567736844,1.07809096445,-5.55111512313e-15,9.80664928405,2.44249065418e-15,
1408129704614,0.679915129504,9.78179297996,0.910746309865,-7.1054273576e-15,9.80665155021,8.65973959208e-15,
1408129704633,1.19066887036,9.76253095384,0.440054407073,1.7763568394e-15,9.80665121615,-8.881784197e-16,
1408129704634,1.76781086191,9.39709022693,0.928021830591,9.10382880193e-15,9.80664930557,-8.65973959208e-15,
1408129704640,2.67119419997,8.60735948282,1.55850154333,-8.881784197e-15,9.80665171982,8.43769498715e-15,
1408129704673,3.49066014198,8.37171857972,2.03018937514,2.6645352591e-15,9.80665006912,-4.88498130835e-15,
1408129704674,3.7171630564,9.10699389516,2.21279260919,-1.33226762955e-15,9.80665222316,5.55111512313e-15,
1408129704675,3.59591133249,11.2618269362,2.05090972035,1.68753899743e-14,9.80665105163,2.99760216649e-15,
1408129704680,3.6237082138,14.6451490386,1.9981964728,5.21804821574e-15,9.80665008921,1.22124532709e-15,
1408129704705,3.51740814551,18.2298791661,2.21643753807,-8.54871728961e-15,9.80665115659,9.99200722163e-16,
1408129704705,3.20472662661,19.7179733698,2.28795841165,-1.88737914186e-14,9.80664949485,-1.11022302463e-16,
1408129704712,3.28584871618,18.1735235488,1.42049428416,-9.88098491916e-15,9.80664957327,8.65973959208e-15,
1408129704729,2.97682067045,15.4523396859,-0.0216712850608,1.3433698598e-14,9.80665011611,-7.21644966006e-15,
1408129704732,2.62530007507,12.4299985401,-1.322597748,-9.32587340685e-15,9.8066499625,7.32747196253e-15,
1408129704751,2.60238139575,10.6056933289,-2.17799386136,-3.33066907388e-15,9.80665100887,-1.09912079438e-14,
1408129704752,2.6977688625,10.3212493882,-2.0883343631,1.44328993201e-15,9.80664986914,-1.11022302463e-15,
1408129704760,2.70537084779,10.2935544454,-1.64623975235,-1.02140518266e-14,9.80664992738,0.0,
1408129704786,2.06854486872,9.81019293187,-1.28928241723,9.82547376793e-15,9.80665107557,-2.44249065418e-15,
1408129704787,1.2670695723,8.40377296096,-1.49297517124,-2.411959521e-14,9.80664912998,4.66293670343e-15,
1408129704792,0.204493847781,7.90615501613,-2.02863219092,-4.70595784563e-14,9.80664967888,-8.881784197e-16,
1408129704822,-0.626596779602,7.97872491911,-1.97953138517,-2.28692065285e-13,9.80664982472,3.5527136788e-15,
1408129704822,-1.03046421323,7.99867886727,-1.52355838847,1.55431223448e-14,9.80665127434,-6.66133814775e-16,
1408129704823,-1.24656409939,8.19959246568,-0.83011348405,-1.22679644221e-14,9.80665015012,6.66133814775e-15,
1408129704846,-1.43345714889,8.47426329259,-0.164615387249,5.44009282066e-15,9.80664977087,4.88498130835e-15,
1408129704847,-1.59437880877,8.31568003857,0.106633708568,1.59872115546e-14,9.80664996467,-8.881784197e-16,
1408129704867,-1.43072796992,8.09244197908,0.0507123069875,4.99600361081e-15,9.80665025238,7.32747196253e-15,
1408129704867,-0.937978055033,7.17015297917,-0.0212146566299,-1.04360964315e-14,9.80665154116,3.33066907388e-15,
1408129704872,-0.465243310843,6.11427256853,-0.195412548148,-7.32747196253e-15,9.80665085926,6.2172489379e-15,
1408129704880,-0.338085228141,5.59552213035,-0.491855365197,1.01030295241e-14,9.80665090115,3.99680288865e-15,
1408129704901,-0.39607927749,5.3206020668,-0.695182317814,-2.88657986403e-15,9.80664998264,6.2172489379e-15,
1408129704902,-0.426716112381,5.13968484134,-0.89576089147,-4.4408920985e-15,9.80664989818,3.77475828373e-15,
1408129704912,-0.258309805286,5.0032953889,-1.06120117176,2.88657986403e-15,9.80665141681,6.66133814775e-15,
1408129704937,-0.0593501694474,5.12293986132,-1.11028559447,4.88498130835e-15,9.80665152351,8.881784197e-16,
1408129704937,0.0804994667522,5.3204886224,-0.970314233555,-1.02140518266e-14,9.80665069648,-3.5527136788e-15,
1408129704941,0.176952672845,5.4883153152,-0.694248611949,-8.65973959208e-15,9.80664915799,1.55431223448e-15,
1408129704971,0.17135214103,5.72549589395,-0.541728752435,-3.77475828373e-15,9.80664960794,3.33066907388e-15,
1408129704972,0.0370308969872,6.11334877517,-0.498431457558,-7.9936057773e-15,9.80664898183,8.881784197e-16,
1408129704973,-0.134830813641,6.54652146372,-0.769011870969,3.10862446895e-15,9.80665051184,-1.99840144433e-15,
1408129704980,-0.41619091993,6.95584019194,-1.09282253129,-1.42108547152e-14,9.80665134737,2.22044604925e-16,
1408129704999,-0.79184603435,7.42372837088,-1.31569328254,-5.77315972805e-15,9.80665046839,1.02140518266e-14,
1408129705000,-1.18283840559,8.12807413916,-1.41426497321,-7.54951656745e-15,9.80664914615,6.66133814775e-16,
1408129705013,-1.45697723001,8.99357020805,-1.45264887587,-1.50990331349e-14,9.80664964501,-2.44249065418e-15,
1408129705035,-1.45967393868,9.72117904139,-1.46217365359,1.33226762955e-15,9.80665183142,-3.5527136788e-15,
1408129705036,-1.18650611559,10.1846162884,-1.5372164134,-9.88098491916e-15,9.80665091454,-2.22044604925e-15,
1408129705040,-0.780869578474,10.2271694204,-1.72191538923,-7.77156117238e-15,9.80665009754,5.3290705182e-15,
1408129705071,-0.0877647084381,10.4849129975,-1.78502706178,-9.99200722163e-15,9.80665008438,3.5527136788e-15,
1408129705071,1.05336201355,12.0420593239,-0.995521972072,1.11022302463e-15,9.80664972036,8.43769498715e-15,
1408129705072,1.40683390036,14.1427930385,0.14894279925,8.32667268469e-15,9.8066507443,4.4408920985e-16,
1408129705080,0.557266311058,15.9785390796,1.29872352537,2.99760216649e-15,9.80664960866,-3.77475828373e-15,
1408129705098,-0.904613105519,14.5700111051,1.93874503785,3.66373598126e-15,9.80664986238,-1.33226762955e-15,
1408129705100,-2.92467354826,12.1476899624,1.47456309712,4.4408920985e-16,9.80665137465,3.77475828373e-15,
1408129705112,-4.6584373387,10.5942160194,-0.270039821205,1.18793863635e-14,9.80665098775,-3.10862446895e-15,
1408129705144,-5.14790860006,10.4234942076,-3.67666992892,3.77475828373e-15,9.80664936752,-8.881784197e-16,
1408129705145,-3.44016979065,13.895841932,-6.72633250397,6.66133814775e-16,9.80664873612,6.88338275268e-15,
1408129705146,-1.55332739582,18.9667170552,-3.36819818551,8.881784197e-16,9.80665114046,4.88498130835e-15,
1408129705173,0.533739607546,17.5746062146,0.998736844923,5.3290705182e-15,9.8066513215,-1.99840144433e-15,
1408129705174,3.13148024362,14.5144199273,2.26449682133,-2.44249065418e-15,9.8066513255,2.44249065418e-15,
1408129705174,4.99068557926,13.1394567596,1.26866763849,-2.44249065418e-15,9.80665078453,-2.22044604925e-15,
1408129705206,5.4523699457,11.9627036168,0.058090412992,2.6645352591e-15,9.80665065061,4.66293670343e-15,
1408129705206,5.69073179723,11.4286100698,0.330549383739,-3.77475828373e-15,9.80665036242,0.0,
1408129705207,5.62330568234,10.8051556817,2.03824709482,-5.77315972805e-15,9.80665026075,4.4408920985e-15,
1408129705213,5.21030578737,9.1660339302,2.86362887973,-9.32587340685e-15,9.80665197958,2.6645352591e-15,
1408129705233,4.72035001237,7.83960859012,2.0740382069,9.7699626167e-15,9.80664928448,-1.33226762955e-15,
1408129705234,3.95322788217,7.59482356621,1.35156069283,-6.66133814775e-15,9.80665120932,-3.5527136788e-15,
1408129705241,3.01897197021,7.89426485001,1.71617809017,1.02140518266e-14,9.80665042411,2.6645352591e-15,
1408129705268,2.32004808013,8.09871126375,1.59671276902,-5.55111512313e-16,9.8066500601,-8.881784197e-16,
1408129705269,1.4333304521,7.90304548588,0.586338631592,-8.21565038223e-15,9.80665097861,8.881784197e-16,
1408129705273,0.726707785405,7.50210489972,0.0117851973455,-1.37667655054e-14,9.80664980794,0.0,
1408129705336,0.399232355536,7.39422638489,0.127088656671,3.33066907388e-15,9.80665067213,2.22044604925e-15,
1408129705337,0.30959668903,7.81169035538,0.224262745561,3.88578058619e-15,9.80665009406,-3.10862446895e-15,
1408129705339,0.383004963772,8.28005944646,0.198746259705,1.3211653993e-14,9.80664953627,1.7763568394e-15,
1408129705340,0.491078699832,8.49274154416,0.210536708971,2.25375273999e-14,9.80664902005,-1.33226762955e-15,
1408129705341,0.72099222501,8.49078400093,0.538224401798,2.07056594093e-14,9.8066516807,-1.33226762955e-15,
1408129705343,0.973376541468,8.35611005105,1.05451558114,-3.82471831983e-14,9.80665032397,0.0,
1408129705344,1.36465266397,8.35532032973,1.46749058173,-5.87030424271e-14,9.80664952255,2.88657986403e-15,
1408129705373,1.50515214315,8.64369580441,1.60743909874,-5.15143483426e-14,9.80665003828,-3.5527136788e-15,
1408129705374,1.61912307217,8.67008565908,1.69272772309,1.12799006247e-12,9.80664970339,-2.44249065418e-15,
1408129705375,1.72254492963,8.56838324821,1.78268279328,3.63736818443e-14,9.80665112264,-2.6645352591e-15,
1408129705415,1.77756990214,8.64721282466,1.73710842857,-6.13398221105e-15,9.80665241159,1.55431223448e-15,
1408129705416,1.63046579821,8.74337951175,1.4256882344,4.13280520917e-14,9.80665059599,-6.43929354283e-15,
1408129705417,1.31802787677,8.42516115463,0.964458538736,2.78943534937e-14,9.80664970425,-1.33226762955e-15,
1408129705417,0.973017737309,8.11923435491,0.726058009721,2.53408405371e-14,9.80665065296,-2.6645352591e-15,
1408129705422,0.545957579519,7.96756093416,0.72891817292,3.95239396767e-14,9.80665054378,-1.7763568394e-15,
1408129705435,0.322656092618,8.09336943973,0.97813663978,-2.67008637422e-14,9.80665209333,-3.10862446895e-15,
1408129705442,-0.0663745349364,8.25747961919,1.10478955924,1.65423230669e-14,9.80665154814,-1.13242748512e-14,
1408129705465,-0.447048989185,8.23053259812,1.08313421138,8.99280649946e-15,9.80664997365,-5.99520433298e-15,
1408129705466,-0.980464189323,8.29870872716,1.0306677085,1.51545442861e-14,9.80665022716,9.10382880193e-15,
1408129705489,-1.61844432158,8.13356606406,0.70767184491,-3.10862446895e-15,9.80665177895,-5.3290705182e-15,
1408129705490,-2.28918514612,7.71930010851,0.178618731273,4.88498130835e-15,9.80665020977,4.4408920985e-16,
1408129705533,-2.69638918093,7.42206970618,-0.364554990004,-1.88737914186e-15,9.80664938982,-4.4408920985e-15,
1408129705534,-2.70025915062,7.15876932008,-0.579180238356,1.55431223448e-15,9.80664877961,-4.66293670343e-15,
1408129705535,-2.64312901627,7.39130810437,-0.725998497548,-8.21565038223e-15,9.80665012639,7.9936057773e-15,
1408129705536,-2.39391711688,7.72995811222,-0.841158710554,-4.99600361081e-15,9.80664952019,7.32747196253e-15,
1408129705537,-2.00065425828,8.14703787397,-0.779332274532,-9.99200722163e-15,9.80665153503,1.06581410364e-14,
