time,acc_x,acc_y,acc_z,local max
1408129650873,0.80244089085,9.22672603878,1.76921085842,0
1408129650891,0.489528622628,9.34937815028,1.84358160099,0
1408129650892,0.392454349203,9.17494069199,1.79305837048,0
1408129650908,0.568506541659,9.02492305082,1.6251404938,0
1408129650908,0.818091577129,9.05594166782,1.23668498669,0
1408129650923,1.10270167531,9.19893035869,0.951820085875,0
1408129650941,1.39710789249,9.19175616307,0.823665617523,0
1408129650941,1.60195608902,9.07817892231,0.816885592477,0
1408129650954,1.66611465376,8.60895295457,0.80312952969,0
1408129650973,1.6876148628,8.18241776486,0.701756437536,0
1408129650974,1.69117540288,7.68853463602,0.612931308334,0
1408129650988,1.63159804914,7.57822400528,0.500912005166,0
1408129650988,1.9048106649,7.61845536395,0.537744905414,0
1408129651003,2.43890407088,7.42418645488,0.863274004791,0
1408129651008,2.62484087616,6.94298923018,0.921967608638,0
1408129651021,2.36890480901,6.75785768358,0.968004395299,0
1408129651037,1.74111772013,6.90288191261,0.887912887241,0
1408129651040,1.00365167811,7.2513943505,0.889982072027,0
1408129651055,0.270018355977,7.75918771491,0.805339478316,0
1408129651082,-0.275859570094,8.40176569489,0.584484835606,0
1408129651082,-0.910125277527,8.98769154724,0.357108511501,0.0
1408129651084,-1.40866943823,9.46297128708,0.307070899487,0.0
1408129651089,-1.68162069993,9.52896549445,0.414032888211,0.0
1408129651119,-1.77146804042,9.45328642797,0.371410078745,0.0
1408129651120,-1.815900275,9.49942255792,0.0881334366213,0.0
1408129651121,-1.57142379802,9.38326253858,-0.067782819515,0.0
1408129651145,-1.27235881984,9.29073656843,-0.130088917966,0.0
1408129651146,-1.05026157319,9.2166758336,-0.15782310598,0.0
1408129651149,-0.993790728962,9.0986341927,-0.13438794105,0.0
1408129651179,-1.07796310516,9.13568484085,-0.178560647467,0.0
1408129651180,-1.15194633365,9.11835677402,-0.252820628238,0.0
1408129651180,-1.11770131076,8.97211996225,-0.358513717327,0.0
1408129651189,-0.932324955265,9.1877620966,-0.412197341846,0.0
1408129651209,-0.419622736852,9.19939741901,-0.908676842543,0.0
1408129651210,0.115014421596,9.05446218955,-0.98920409675,0.0
1408129651220,0.500137954659,8.9485148533,-0.616037658931,0.0
1408129651239,0.320139533095,8.83668418243,-0.0528589785239,0.0
1408129651240,-0.621540680581,8.77595788346,0.498382202255,0.0
1408129651270,-1.91271466786,8.77381240908,0.540049896687,0.0
1408129651271,-2.62979451833,9.09920524439,0.0278706513409,0.0
1408129651271,-2.38036221174,9.65930069597,-0.388622275912,0.0
1408129651303,-1.84955550977,10.405734818,-0.367058106671,0.0
1408129651303,-1.44181743287,11.3084914174,-0.464907539735,0.0
1408129651304,-1.00792754008,11.696892918,-0.273187026243,0.0
1408129651309,-0.939295737191,11.4598196433,0.341558679845,0.0
1408129651330,-1.28089468127,11.1318577851,0.774047071106,0.0
1408129651330,-1.66530858265,11.2423671229,0.663601033035,0.0
1408129651340,-1.71872229793,11.6989184918,0.513841266241,0.0
1408129651362,-1.41701218339,12.1538750701,1.07695682526,0.0
1408129651362,-0.617702890551,12.0407905273,2.0967963855,0.0
1408129651369,0.175712239215,11.3045965039,2.827598851,0.0
1408129651389,1.44802513526,10.2654166738,2.76344069921,0.0
1408129651390,2.39926813666,9.18490937689,2.72605271649,0.0
1408129651408,3.02901765982,8.6128886349,2.51021742496,0.0
1408129651421,3.84040103794,9.09621152275,1.8464885197,0.0
1408129651421,4.85289505752,11.3426262424,1.13865247193,0.0
1408129651440,4.75591123211,13.6461455512,0.523552542637,0.0
1408129651456,4.19638947497,15.4614831507,0.455092604479,15.4614831507
1408129651457,4.4450843927,15.1446216809,0.264403695893,0.0
