index,corr_coef
0,1.0
1,0.952799347692
2,0.827976102266
3,0.666650801852
4,0.513472294844
5,0.396006196484
6,0.31652832226
7,0.260942861663
8,0.210237919559
9,0.147459395485
10,0.065391605744
11,-0.0315199949822
12,-0.135908062787
13,-0.234091153663
14,-0.315362736892
15,-0.371559122818
16,-0.402037477993
17,-0.412951775895
18,-0.408979263799
19,-0.395706239814
20,-0.379334778901
21,-0.367921071655
22,-0.365415388622
23,-0.372436429238
24,-0.386184231388
25,-0.401823097599
26,-0.41573413273
27,-0.423677348255
28,-0.423695685618
29,-0.415922416347
30,-0.402324561492
31,-0.3863466677
32,-0.372157323366
33,-0.360844420848
34,-0.349935915979
35,-0.333965028418
36,-0.305509515364
37,-0.258868882054
38,-0.193694259248
39,-0.114704151162
40,-0.0316166083138
41,0.0464916670419
42,0.117347195091
43,0.187070541794
44,0.26398891609
45,0.350448364724
46,0.440224583446
47,0.527146534208
48,0.604448439711
49,0.667630517582
50,0.717856278181
51,0.751671501715
52,0.763677755106
53,0.750227130187
54,0.709161400481
55,0.639274543891
56,0.547045062451
57,0.443677182104
58,0.343733844131
59,0.259017037054
60,0.1921472835
61,0.137637581381
62,0.0834562337974
63,0.0200823694912
64,-0.0545438976473
65,-0.138174501461
66,-0.22185583768
67,-0.295939944195
68,-0.353885606953
69,-0.393528104132
70,-0.417083089043
71,-0.429435989328
72,-0.435277103834
73,-0.4380048454
74,-0.440070217131
75,-0.443107565897
76,-0.448473509242
77,-0.454888385326
78,-0.459493351342
79,-0.45898818415
80,-0.450154383483
81,-0.432745550232
82,-0.410619817816
83,-0.388510756618
84,-0.368667063252
85,-0.350583438329
86,-0.331783535679
87,-0.308971030123
88,-0.281167964257
89,-0.250806950208
90,-0.214101277434
91,-0.160543128154
92,-0.0779279684912
93,0.0369793009177
94,0.171753179581
95,0.300665383365
96,0.388480566059
97,0.426629401101
98,0.444567088948
99,0.477840304708
100,0.563489698179
101,0.703281062984
102,0.848289922514
103,0.948216860238
104,0.965590275191
105,0.89016237498
106,0.746437152804
107,0.582030052785
108,0.437342098384
109,0.332680917073
110,0.267938661031
111,0.227155679579
112,0.189928509271
113,0.134062966436
114,0.0526161530205
115,-0.0449073246333
116,-0.145105702291
117,-0.23579394054
118,-0.306691792281
119,-0.352790675565
120,-0.37666251322
121,-0.382648160143
122,-0.376268223159
123,-0.366634945529
124,-0.363041729426
125,-0.371351568753
126,-0.388817031982
127,-0.409452696943
128,-0.42925320223
