index,i,acc_x,acc_y,acc_z
0,0,-5.36541073605,18.9102988005,0.589559513888
0,1,-4.09283688932,18.4013827771,6.65088812464
0,2,-6.1417341954,18.2217971663,7.2326740525
0,3,-8.01489323855,16.5755579067,4.7203275946
0,4,-5.94787854703,13.4373515997,-0.512497733073
0,5,-1.94329563754,11.6951633124,-4.59648231353
0,6,-0.550530181442,11.392008626,-5.8045700915
0,7,-0.0970747465014,10.0855696806,-5.0532904015
0,8,-0.309859381443,8.13107155149,-4.07387700045
0,9,-1.24736805102,6.89966327837,-3.18639456888
0,10,-0.729625128816,5.66623895305,-2.48426642576
0,11,-0.300285281141,5.17322487701,-2.53229496048
0,12,-0.779872923007,5.46350357678,-1.49210233379
0,13,-0.470173942181,5.10192129404,-0.4664947929
0,14,0.0743343031537,4.29489929365,-0.418496394617
0,15,-0.18884717453,3.60720969439,-0.362543803122
0,16,-0.704392184572,3.26680736534,-1.17338213578
0,17,-1.28900183492,3.06415697133,-1.86206449289
0,18,-1.58427437004,2.68531224935,-1.85361470438
0,19,-2.03256701549,2.02779188038,-0.953515114986
0,20,-2.91330492156,1.69824882412,0.0387186876348
0,21,-3.63090836324,2.03254470534,0.342740401287
0,22,-3.32740489008,2.51792728116,-0.576775461525
0,23,-2.70651817644,3.05197795313,-1.60017374099
0,24,-2.34798782141,3.96316195156,-1.29678445399
0,25,-1.85640549537,4.90234179156,0.263410069536
0,26,-1.36745728518,5.7206706715,3.46973137003
0,27,11.0110863502,11.5883785837,12.0443865619
0,28,21.1556607693,7.2595849124,22.8838086545
0,29,23.1990848234,5.51203636588,20.8247325845
0,30,16.2829108529,4.34104890028,11.1834277593
0,31,6.00506639824,1.58282866975,0.513710325132
0,32,0.506114973601,4.9846599961,-5.35928836384
0,33,-1.66967019947,6.38523972671,-2.86971417828
0,34,-2.30844490094,7.52500093514,-2.50428873733
0,35,-2.77742355722,9.20673370824,-4.47239872415
0,36,-7.24520598837,14.9004199069,-5.98208802941
0,37,-7.11316902629,17.8560813456,-3.28898622826
0,38,-5.00238177089,15.907371729,1.54181972371
0,39,-4.15825951511,13.0589251231,-1.5626365342
0,40,-3.96626802776,10.1059628059,-6.11732800799
0,41,-3.48094497735,9.47626111023,-5.18443138334
0,42,-2.94211703543,9.60039015641,-3.09955037261
0,43,-1.89056912391,8.46102925818,-1.9752957538
0,44,-1.23039737384,7.4453627621,-0.444009548479
0,45,-1.03660047105,7.64022711932,0.11514665397
0,46,-1.89949493147,8.91645463632,-1.33534963852
0,47,-2.8274682862,9.36572340437,-2.75425200156
0,48,-2.47875334085,8.60548523523,-2.29604836209
0,49,-1.32284315244,7.56603020665,-1.16493908694
0,50,-0.176281259582,7.1376753759,-0.39764840866
0,51,0.609415067159,7.8461623536,-0.386057225868
0,52,0.778820787374,10.3001291399,-0.846950364576
0,53,0.263942047193,14.1916773449,-1.12508785175
0,54,0.276456724198,16.9070393506,-0.841082746143
0,55,1.14559259653,15.754490942,-0.522766511192
0,56,2.03109632904,12.4789810921,0.216808976081
0,57,2.73015037435,10.3410423039,1.06455764218
0,58,3.40156267532,9.24289264869,1.62415633538
0,59,4.28296978677,7.99188427423,2.6462911827
0,60,4.20098628938,7.44543405313,3.80549740479
0,61,3.36475046504,8.57863182126,1.22482191943
0,62,3.60435233673,8.36370051553,-3.35252243505
0,63,3.63874741519,7.55136078078,-5.5616001462
0,64,1.95688424932,7.73005595659,-2.80333086035
0,65,1.10890974056,7.38577878063,0.856852516185
0,66,0.753514986373,7.26627725542,2.67701762943
0,67,0.584818693373,7.44757643671,2.8547166297
