time,acc_x,acc_y,acc_z,gravity_x,gravity_y,gravity_z
1409523486989,-3.5613751,1.804031,9.066842,-3.477442,1.8457235,8.981709
1409523486997,-3.6152446,1.8489223,8.988432,-3.476907,1.8411133,8.982862
1409523487018,-3.7547069,1.9440918,8.861539,-3.4770036,1.8460044,8.981821
1409523487019,-3.8253357,1.9818004,8.810662,-3.4815173,1.8568925,8.977827
1409523487029,-3.9294837,2.0027497,8.879496,-3.4909492,1.8700682,8.971427
1409523487049,-3.913921,2.0530279,8.950723,-3.504183,1.8832381,8.96351
1409523487050,-3.8474822,2.0679917,8.856153,-3.5175514,1.8951566,8.955757
1409523487058,-3.7816415,2.0524294,8.809465,-3.5286026,1.9048703,8.9493475
1409523487084,-3.6727054,2.0165164,8.787319,-3.5347455,1.9110898,8.945597
1409523487085,-3.5625722,1.9901801,8.789114,-3.5371323,1.9132509,8.944191
1409523487089,-3.4901476,1.9494787,8.841787,-3.5355778,1.9117373,8.945129
1409523487098,-3.5242648,1.875857,8.902241,-3.530819,1.906687,8.948087
1409523487113,-3.5871127,1.8531121,9.01417,-3.526397,1.8988811,8.951489
1409523487134,-3.5661635,1.845331,9.118916,-3.52522,1.8902717,8.953775
1409523487135,-3.5745432,1.7717092,9.223662,-3.5264266,1.881654,8.955115
1409523487138,-3.657143,1.7106571,9.356541,-3.534553,1.873419,8.953638
1409523487165,-3.5996823,1.6867151,9.363124,-3.549393,1.8675327,8.948996
1409523487166,-3.466804,1.7016789,9.21229,-3.5662572,1.867535,8.942287
1409523487184,-3.3626564,1.769315,9.027337,-3.5811675,1.8766435,8.934419
1409523487185,-3.2650926,1.8656816,8.944737,-3.5912988,1.8955601,8.926354
1409523487191,-3.2357635,2.0093338,8.824429,-3.5927398,1.9188744,8.920792
1409523487198,-3.229778,2.1410148,8.722076,-3.5859056,1.9486254,8.917092
1409523487216,-3.2680852,2.2212207,8.671799,-3.5771203,1.9787366,8.913989
1409523487218,-3.342904,2.2158337,8.647258,-3.5678568,2.0050242,8.911827
1409523487229,-3.4314895,2.1380222,8.616732,-3.562958,2.02444,8.909397
1409523487245,-3.4039562,2.055422,8.635885,-3.5653346,2.0357857,8.905861
1409523487264,-3.3051953,1.9722236,8.706514,-3.5746288,2.0403244,8.901094
1409523487265,-3.2513258,1.894412,8.796297,-3.5877776,2.0396035,8.895968
1409523487283,-3.4572272,1.8016368,8.980052,-3.6008162,2.036179,8.891484
1409523487284,-3.7834373,1.8201919,9.160814,-3.6137562,2.0279846,8.888106
1409523487289,-4.043208,1.903989,9.291897,-3.6237826,2.0166712,8.886598
1409523487298,-4.1814733,2.0470424,9.408614,-3.6289346,2.0044444,8.887261
1409523487321,-4.1054573,2.203264,9.357738,-3.628193,1.9949329,8.889705
1409523487321,-3.942053,2.2876596,9.173983,-3.6202457,1.9915626,8.893699
1409523487329,-3.7972038,2.268506,9.133281,-3.6049924,1.9947567,8.8991785
1409523487343,-3.503914,2.2098482,9.186552,-3.5847533,2.0024688,8.905619
1409523487364,-3.2501287,2.12246,9.165004,-3.5605392,2.0116408,8.913262
1409523487365,-3.153762,2.0452468,8.954314,-3.533688,2.0235546,8.9212475
1409523487382,-3.1789012,1.9859903,8.793304,-3.5082471,2.0366373,8.928309
1409523487383,-3.1860838,1.9434932,8.701726,-3.48966,2.049214,8.9327135
1409523487390,-3.0867245,1.9608512,8.563461,-3.4791913,2.0611422,8.934053
1409523487398,-3.0454245,2.0284874,8.395268,-3.4718862,2.074851,8.933722
1409523487414,-3.0472202,2.1080947,8.252214,-3.4645958,2.0916512,8.932634
1409523487425,-3.103484,2.1212628,8.163031,-3.4567792,2.110155,8.931311
1409523487431,-3.1950622,2.135628,8.069058,-3.449062,2.1302085,8.929534
1409523487441,-3.3225534,2.1990743,7.8386164,-3.4420614,2.1517155,8.927078
1409523487460,-3.3734303,2.2822728,7.650073,-3.4396188,2.17481,8.922421
1409523487460,-3.5284548,2.405574,7.766192,-3.4437718,2.1991367,8.914854
1409523487476,-3.4919431,2.4911668,7.81647,-3.453475,2.224032,8.904919
1409523487478,-3.2357635,2.509722,7.651869,-3.4621453,2.2500198,8.895019
1409523487492,-2.6862943,2.4384944,7.4507556,-3.4636605,2.2784526,8.887187
1409523487498,-1.8483237,2.3594859,7.1784153,-3.4552886,2.3084002,8.882717
1409523487510,-1.1145009,2.2852654,6.7486563,-3.437614,2.3418043,8.880831
1409523487525,-0.76195467,2.2230163,5.755661,-3.4071445,2.3767927,8.883277
1409523487529,-1.7435774,2.3690627,5.689222,-3.3706653,2.409995,8.8882475
1409523487541,-2.9113493,2.8993783,6.160281,-3.3389015,2.4370208,8.892865
1409523487566,-3.8073792,3.5649664,6.5152216,-3.3189158,2.453762,8.895742
1409523487567,-4.1371803,3.8504748,6.5786676,-3.314216,2.456365,8.896777
1409523487570,-3.9713821,3.5930982,7.229292,-3.3228545,2.4518118,8.89481
